Character,Height,Relative Height
0,4,0.005050683610026617
1,4,0.005050683610026617
2,4,0.005050683610026617
3,4,0.005050683610026617
4,4,0.005050683610026617
5,4,0.005050683610026617
6,4,0.005050683610026617
7,4,0.005050683610026617
8,4,0.005050683610026617
9,4,0.005050683610026617
!,4,0.005050683610026617
"""",4,0.005050683610026617
#,4,0.005050683610026617
$,4,0.005050683610026617
%,4,0.005050683610026617
&,4,0.005050683610026617
',4,0.005050683610026617
(,4,0.005050683610026617
),4,0.005050683610026617
*,4,0.005050683610026617
+,4,0.005050683610026617
",",4,0.005050683610026617
-,4,0.005050683610026617
.,4,0.005050683610026617
/,4,0.005050683610026617
:,4,0.005050683610026617
;,4,0.005050683610026617
<,4,0.005050683610026617
=,4,0.005050683610026617
>,4,0.005050683610026617
?,4,0.005050683610026617
@,4,0.005050683610026617
[,4,0.005050683610026617
\,4,0.005050683610026617
],4,0.005050683610026617
^,4,0.005050683610026617
_,4,0.005050683610026617
`,4,0.005050683610026617
{,4,0.005050683610026617
|,4,0.005050683610026617
},4,0.005050683610026617
~,4,0.005050683610026617
a,5,0.006313354512533271
b,5,0.006313354512533271
c,5,0.006313354512533271
d,5,0.006313354512533271
e,5,0.006313354512533271
f,5,0.006313354512533271
g,5,0.006313354512533271
h,5,0.006313354512533271
i,5,0.006313354512533271
j,5,0.006313354512533271
k,5,0.006313354512533271
l,5,0.006313354512533271
m,5,0.006313354512533271
n,5,0.006313354512533271
o,5,0.006313354512533271
p,5,0.006313354512533271
q,5,0.006313354512533271
r,5,0.006313354512533271
s,5,0.006313354512533271
t,5,0.006313354512533271
u,5,0.006313354512533271
v,5,0.006313354512533271
w,5,0.006313354512533271
x,5,0.006313354512533271
y,5,0.006313354512533271
z,5,0.006313354512533271
A,5,0.006313354512533271
B,5,0.006313354512533271
C,5,0.006313354512533271
D,5,0.006313354512533271
E,5,0.006313354512533271
F,5,0.006313354512533271
G,5,0.006313354512533271
H,5,0.006313354512533271
I,5,0.006313354512533271
J,5,0.006313354512533271
K,5,0.006313354512533271
L,5,0.006313354512533271
M,5,0.006313354512533271
N,5,0.006313354512533271
O,5,0.006313354512533271
P,5,0.006313354512533271
Q,5,0.006313354512533271
R,5,0.006313354512533271
S,5,0.006313354512533271
T,5,0.006313354512533271
U,5,0.006313354512533271
V,5,0.006313354512533271
W,5,0.006313354512533271
X,5,0.006313354512533271
Y,5,0.006313354512533271
Z,5,0.006313354512533271
0,5,0.006313354512533271
1,5,0.006313354512533271
2,5,0.006313354512533271
3,5,0.006313354512533271
4,5,0.006313354512533271
5,5,0.006313354512533271
6,5,0.006313354512533271
7,5,0.006313354512533271
8,5,0.006313354512533271
9,5,0.006313354512533271
!,5,0.006313354512533271
"""",5,0.006313354512533271
#,5,0.006313354512533271
$,5,0.006313354512533271
%,5,0.006313354512533271
&,5,0.006313354512533271
',5,0.006313354512533271
(,5,0.006313354512533271
),5,0.006313354512533271
*,5,0.006313354512533271
+,5,0.006313354512533271
",",5,0.006313354512533271
-,5,0.006313354512533271
.,5,0.006313354512533271
/,5,0.006313354512533271
:,5,0.006313354512533271
;,5,0.006313354512533271
<,5,0.006313354512533271
=,5,0.006313354512533271
>,5,0.006313354512533271
?,5,0.006313354512533271
@,5,0.006313354512533271
[,5,0.006313354512533271
\,5,0.006313354512533271
],5,0.006313354512533271
^,5,0.006313354512533271
_,5,0.006313354512533271
`,5,0.006313354512533271
{,5,0.006313354512533271
|,5,0.006313354512533271
},5,0.006313354512533271
~,5,0.006313354512533271
a,6,0.007576025415039926
b,6,0.007576025415039926
c,6,0.007576025415039926
d,6,0.007576025415039926
e,6,0.007576025415039926
f,6,0.007576025415039926
g,6,0.007576025415039926
h,6,0.007576025415039926
i,6,0.007576025415039926
j,6,0.007576025415039926
k,6,0.007576025415039926
l,6,0.007576025415039926
m,6,0.007576025415039926
n,6,0.007576025415039926
o,6,0.007576025415039926
p,6,0.007576025415039926
q,6,0.007576025415039926
r,6,0.007576025415039926
s,6,0.007576025415039926
t,6,0.007576025415039926
u,6,0.007576025415039926
v,6,0.007576025415039926
w,6,0.007576025415039926
x,6,0.007576025415039926
y,6,0.007576025415039926
z,6,0.007576025415039926
A,6,0.007576025415039926
B,6,0.007576025415039926
C,6,0.007576025415039926
